fips,state_code,district_code,name,senator_1,senator_1_party,senator_2,senator_2_party,representative,representative_party,report_link
3406,NJ,06,"New Jersey Congressional District 6",,,,,"Frank Pallone, Jr.","Democrat","https://environmentalenforcementwatch.org/report_cards/NJ06_2024.pdf"
3615,NY,15,"New York Congressional District 15",,,,,"Ritchie Torres","Democrat","https://environmentalenforcementwatch.org/report_cards/NY15_2024.pdf"
4402,RI,02,"Rhode Island Congressional District 2",,,,,"Seth Magaziner","Democrat","https://environmentalenforcementwatch.org/report_cards/RI02_2024.pdf"
1211,FL,11,"Florida Congressional District 11",,,,,"Daniel Webster","Republican","https://environmentalenforcementwatch.org/report_cards/FL11_2024.pdf"
1209,FL,09,"Florida Congressional District 9",,,,,"Darren Soto","Democrat","https://environmentalenforcementwatch.org/report_cards/FL09_2024.pdf"
1313,GA,13,"Georgia Congressional District 13",,,,,"David Scott","Democrat","https://environmentalenforcementwatch.org/report_cards/GA13_2024.pdf"
1501,HI,01,"Hawaii Congressional District 1",,,,,"Ed Case","Democrat","https://environmentalenforcementwatch.org/report_cards/HI01_2024.pdf"
1213,FL,13,"Florida Congressional District 13",,,,,"Anna Paulina Luna","Republican","https://environmentalenforcementwatch.org/report_cards/FL13_2024.pdf"
3403,NJ,03,"New Jersey Congressional District 3",,,,,"Andy Kim","Democrat","https://environmentalenforcementwatch.org/report_cards/NJ03_2024.pdf"
4103,OR,03,"Oregon Congressional District 3",,,,,"Earl Blumenauer","Democrat","https://environmentalenforcementwatch.org/report_cards/OR03_2024.pdf"
2705,MN,05,"Minnesota Congressional District 5",,,,,"Ilhan Omar","Democrat","https://environmentalenforcementwatch.org/report_cards/MN05_2024.pdf"
2704,MN,04,"Minnesota Congressional District 4",,,,,"Betty McCollum","Democrat","https://environmentalenforcementwatch.org/report_cards/MN04_2024.pdf"
4203,PA,03,"Pennsylvania Congressional District 3",,,,,"Dwight Evans","Democrat","https://environmentalenforcementwatch.org/report_cards/PA03_2024.pdf"
3412,NJ,12,"New Jersey Congressional District 12",,,,,"Bonnie Watson Coleman","Democrat","https://environmentalenforcementwatch.org/report_cards/NJ12_2024.pdf"
3404,NJ,04,"New Jersey Congressional District 4",,,,,"Christopher H. Smith","Republican","https://environmentalenforcementwatch.org/report_cards/NJ04_2024.pdf"
4213,PA,13,"Pennsylvania Congressional District 13",,,,,"John Joyce","Republican","https://environmentalenforcementwatch.org/report_cards/PA13_2024.pdf"
4217,PA,17,"Pennsylvania Congressional District 17",,,,,"Christopher R. Deluzio","Democrat","https://environmentalenforcementwatch.org/report_cards/PA17_2024.pdf"
